,text,preprocessed,cluster
1019,"former president of cuba fidel castro has died,,,,",former president cuba fidel castro,2
1020,"karun nair will break lara's record at this rate,,,,",karun nair break record,15
1021,"what a victory to team india,, congratulations,,",victory team,26
1022,"almost there on the verge of a world record where u score a double &amp; triple hundred in the same innings u score ur maiden hundred karun nair,,,,",almost world record u score double triple hundred u score maiden hundred karun,15
1023,"fidel castro stood up to a capitalist superpower during the cold war. he also was an ally to nelson mandela.,,,,",fidel castro also,2
1024,"no porn of the new mascot for the football world cup on fa yet. i'm disappointed of you,,,,",new football world cup,26
1025,"india wins kabbadi world cup 2016.. congrats team india...,,,,",india kabbadi world cup congrats team,26
1026,"alicia vikander by far had my favorite performance of the year n also i luv her!!!,,,,",alicia vikander far performance year n also,1
1027,"developing story at least 18 dead in gun and grenade attack in central paris suspected terrorist attack,,,,",least dead gun attack central paris terrorist,26
1028,"and thank you team india :),,,,",thank team india,26
1029,"congrats team india for winning the kabbadi world cup...,,,,",congrats team india kabbadi world,26
1030,"plane carrying them might have crashed,,,,",plane might,18
1031,"fidel castro died i've heard his name once in my life,,,,",fidel castro name,2
1032,"gets it in the gap past cook and there is the 303 for karun nair off 381 balls! stand &amp; applaud! what a great knock! outstanding!,,,,",past karun nair stand great,15
1033,"congrulating men in blue for being consistent in winning world cups for country. ;,,,,",world,26
1034,"fidel castro deserved to die. he was a horrible human.,,,,",fidel castro,2
1035,"cuba state television has this morning announced the death of fidel alejandro castro ruz,,,,",cuba state television death fidel castro,2
1036,"amazing 18 tests undefeated in a row good record for indian team !,,,,",good record indian team,26
1037,"snapchat is currently not working and then i realized oh my god i need snapchat,,,,",snapchat oh god need,5
1038,"i know what dead bodies look like. we don't need to see people's loved ones on the streets of #paris. have some respect.,,,,",know dead look need see,26
1039,"paris police still searching for gunmen accused of shooting in paris restaurant. at least 7 wounded,,,,",paris police still paris least,26
1040,"if you are in japan watch out!!!!! tsunami warning fukushima prefecture,,,,",japan watch tsunami fukushima,11
1041,"alicia vikander has been a true overnight success this year,,,,",alicia vikander true,1
1042,"oh hey,,,,",oh,26
1043,"coordinated terrorist attacks happening in paris now,,,,",terrorist paris,26
1044,"first an earthquake and now a potential tsunami. pray for japan. may god have mercy on everyone affected.,,,,",first earthquake pray may god everyone,11
1045,"japan 7.3 magnitude quake near fukushima with tsunami alert triggered,,,,",japan magnitude quake near fukushima tsunami alert,11
1046,"magnitude 7.3 earthquake off coast of fukushima in japan. evacuation warnings for tsunami.,,,,",magnitude earthquake coast fukushima evacuation,11
1047,"casualties reported in paris shootings,,,,",paris,26
1048,"alicia vikander is the true belle of the ball now,,,,",alicia vikander true belle ball,1
1049,"fidel castro,,,,",fidel,2
1050,"cuban president raul castro has announced the death of his brother fidel castro on cuban state media.,,,,",cuban president raul castro death brother fidel castro cuban state,2
1051,"so far,,,,",,26
1052,"former cuban dictator fidel castro is dead at the age of 90.,,,,",former cuban dictator fidel castro dead age,2
1053,"we are the kabaddi world cup champions 2016!!! what a night!!,,,,",kabaddi world cup,26
1054,"fidel castro. whoa. stay hard,,,,",fidel,2
1055,"former cuban leader fidel castro has died,,,,",former cuban leader fidel castro,2
1056,"18 dead,,,,",,26
1057,"what a day for indian cricket team,, thanks,,",day indian cricket,26
1058,"plane carrying football players from brazil crashes in colombia via,,,,",plane football brazil colombia,18
1059,"i'm in love with alicia vikander,,,,",love alicia,1
1060,"7.3 magnitude earthquake in the fukushmina area of japan with tsunami expected. ; live video:,,,,",magnitude earthquake area japan tsunami live,11
1061,"i believe it's over. he just won florida.,,,,",believe,23
1062,"the 11 million people in florida that didn't vote could have been the difference needed for hillary to have won,,,,",people florida vote could hillary,23
1063,"yes alicia vikander! well deserved,,,,",yes alicia well,1
1064,"breaking: a number of people are feared to be dead after a shooting and explosions in central paris. more on shortly,,,,",number people dead central,26
1065,"fidel castro dies at 90,,,,",fidel castro,2
1066,"abc fidel castro has died at age 90,,,,",fidel castro age,2
1067,"police saying at least 18 dead at scene of 2 gun attacks in #parisattacks. hostages taken. deaths also reported at stade de france,,,,",police least dead gun also,26
1068,"proud once again...india lifts world cup ;downs equally brilliant iran 38-29,,,,",proud world cup iran,26
1069,"shooting in paris ,,,,",paris,26
1070,"if anyone thought kohli would declare after karun nair's 250,,,,",anyone thought kohli would declare karun,15
1071,"champions (y) &lt;3;; beat iran 38-29 to win kabaddi world cup 2016 ;,,,,",beat iran win kabaddi world cup,26
1072,"karun nair has what sachin tendulkar does not have. guess what ...;score of 250 in test match;well played karun,,,,",karun nair guess test,15
1073,"fidel castro just died that's brazy,,,,",fidel castro,2
1074,"according to cnn,,,,",,26
1075,"fidel castro he promised himself he will never die until the day he sees america elect a dictator,,,,",fidel castro never die day america,2
1076,"major quake hits fukushima,, site of 2011 tsunami and meltdown,,",major quake tsunami,11
1077,"yes so well deserved alicia vikander.,,,,",yes well alicia,1
1078,"you beauty. congratulations team india. fantastic win,,,,",team fantastic,26
1079,"snapchat not working is the worst thing to happen to the world since the tolberone drama,,,,",snapchat thing happen world since,5
1080,"rip fidel castro... omg... 2016 has been a crazy year.,,,,",rip fidel,2
1081,"rip fidel castro and carol brady!!,,,,",rip fidel castro,2
1082,"congratulations team india....4-0;hero of the day.... jadeja,,,,",team,26
1083,"major girl crush on alicia vikander,,,,",major girl alicia,1
1084,"ever since i did the snapchat update my snapchat hasn't been working at all. lovely.,,,,",ever since snapchat update snapchat,5
1085,"fidel castro is dead! finally that no good excuse for a human is finally dead!,,,,",fidel castro finally good finally,2
1086,"congratulations team india for amazing victory against england 4-0.great performance by karun nayar and jadeja,,,,",team india victory england performance karun,26
1087,"#breakingnews at least 14 dead inside concert hall in paris #parisshooting #totalchaos,,,,",least dead concert hall paris,26
1088,"spectacular win for team india and master what a win...,,,,",spectacular win team india,26
1089,"karun nair creates history by his maiden triple ton at very young age . ;join for party !,,,,",karun nair history maiden triple ton young age party,15
1090,"live | day 2 - fina/airweave swimming world cup 2016 singapore,,,,",live day world cup,26
1091,"anyone else's snapchat now working ?,,,,",anyone snapchat,5
1092,"#breaking at least 26 people are dead in multiple attacks in central paris:,,,,",least people dead multiple central,26
1093,"developing story: 18 people reported dead in paris gunfire &amp; explosions near stadium.,,,,",people dead paris gunfire near,26
1094,"is it just my snapchat that's not working ? :(,,,,",snapchat,5
1095,"snapchats not working,,,,",snapchats,4
1096,"a tsunami was detected 20km off the coast of iwaki,,,,",tsunami coast,11
1097,"rt breakingf24: - revolutionary cuban icon fidel castro dies aged 90,,,,",rt revolutionary cuban icon fidel castro,2
1098,"karun nair you make me miss batting!,,,,",karun nair make,15
1099,"individual highest score by any indian against england by karun nair 243(338)*;what an innings.....;india 669/6(178.3);,,,,",highest score indian england karun nair,15
1100,"shocking news as the number of dead rises to at least 26 #france #paris,,,,",news number dead least,26
1101,"he was one of the most influential leaders of the 20th century. on his own he shaped history. viva fidel castro,,,,",one fidel,2
1102,"18 dead or injured in paris shooting,,,,",dead paris,26
1103,"karun nair on 279* what a knock you are playing buddy,,,,",karun nair knock,15
1104,"oscars 2016: alicia vikander dresses as belle from 'beauty and the beast',,,,",alicia vikander belle,1
1105,"fidel castro dying has got to be the least depressing death of the year.,,,,",fidel castro least death,2
1106,"why can't snapchat just bring out an update that makes it actually work rather than it not working 24/7,,,,",snapchat bring update actually work,5
1107,"trump won florida and ohio... goodbye y'all,,,,",trump florida,23
1108,"plane carrying football players from brazil crashes in colombia: afp,,,,",plane football brazil,18
1109,"another proud moment for us.;congrts karun nair and team india,,,,",another proud moment karun nair team,16
1110,"alicia vikander headed to prom after this?,,,,",alicia vikander,1
1111,"qwhite interesting looking @ the people who are sad about fidel castro's death.,,,,",people sad fidel,2
1112,"plane carrying football players from brazil crashes in colombia,,,,",plane football brazil,18
1113,"alicia vikander keeps it real with her post-oscars red carpet plans,,,,",alicia vikander real red carpet,1
1114,"100 with a 4.;200 with a 4.;and now 300 also with a 4.;what an inning.take a bow to this young lad.;name:- karun nair.;,,,,",also bow young karun,15
1115,"snapchat not working is trumps fault,,,,",snapchat,5
1116,"my snapchat isn't working... thanks obama,,,,",snapchat,5
1117,"up to 18 people dead in paris? dear lord...,,,,",people dead dear,26
1118,"is anyone else snapchat not working,,,,",anyone else snapchat,5
1119,"snapchat why you no working??,,,,",snapchat,5
1120,"my snapchat isn't working and it's adding on to my anxiety,,,,",snapchat,5
1121,"karun nair! take a bow!! for an innings that would had envied even,,,,",karun take would,15
1122,"configurations to our kabbadi team for winning this world cup 2016.,,,,",kabbadi team world cup,26
1123,"not even fidel castro could survive of gilmore girls: a year in the life ...,,,,",even fidel castro could survive year life,2
1124,"this is the spirit of test cricket! great win for team india. 4-0 revenge taken. jadeja displayed his heroism,,,,",test great win team jadeja,26
1125,"congratulations team india for winning kabaddi worldcup 2016.,,,,",team india kabaddi,29
1126,"absolutely chilling events in paris. 18 dead. more held hostage. #prayforparis,,,,",absolutely,26
1127,"french media reports 18 are dead in #paris #breaking,,,,",french dead,26
1128,"fidel castro,, dead at age 90,,",fidel dead age,2
1129,"oscars fashion: many of the red-carpet stars went soft: alicia vikander set the tone on the oscars red carpet ...,,,,",many alicia vikander red carpet,1
1130,"18 dead after a deadly shooting at a local restaurant in paris officials said #parisshooting,,,,",dead deadly local restaurant paris,26
1131,"just letting you guys know snapchat isn't working so you're not the only one,,,,",know snapchat,5
1132,"breaking: magnitude 7.3 earthquake strikes off fukushima in japan,,,,",magnitude earthquake fukushima,11
1133,"usually i say rest in peace when people die,, i'm glad you're gone. goodbye fidel castro.,,",say rest peace people glad fidel,2
1134,"dawg trump just won florida.;i'm sick,,,,",trump,23
1135,"i called alicia vikander. if only she was nominated for the good movie she was in (ex machina) instead of the danish girl.,,,,",alicia good movie danish,1
1136,";;india wins the 2016 kabaddi world cup. celebrations begins!;;,,,,",kabaddi world,26
1137,"first half belonged to iran. but india too experienced to turn it around after the break. final score 38-29. kabaddiworldcup2016,,,,",first half india turn around final score,26
1138,"i'm so glad i live in a time where i can see news of an earthquake/tsunami warning in japan and immediately text my mom to see if she's ok,,,,",glad live time see news japan see,11
1139,"great victory by team india 4-0,,,,",great victory team india,26
1140,"india the winner of kabadi in asia world cup 2016 ;;,,,,",india winner kabadi world cup,26
1141,"no first innings total safe any more against this rampaging indian team on home .,,,,",first total safe indian team,26
1142,"is anyone else's snapchat not working?,,,,",anyone snapchat,5
1143,"what a treat to watch sweeps by karun nair.. proving better than ak with his jhaadhoo,,,,",watch karun better,15
1144,"rare vintage 2006 world cup umbro sweden svff swedish soccer football jersey,,,,",world cup swedish soccer football,26
1145,"fackkkk. this close in florida before trump won it there. insane!,,,,",close florida trump,23
1146,"26 dead people announced. #paris this is horrible. stop the war !,,,,",dead people stop,26
1147,"congratulations for winning kabadi world cup!!!,,,,",kabadi world,26
1148,"alicia vikander is one of the most beautiful people i've ever seen oh my,,,,",alicia vikander one people ever oh,1
1149,"trump won florida???? what? us people come on,,,,",trump people come,23
1150,"fidel castro dead at age 90,,,,",fidel castro dead age,2
1151,"at least 18 dead in attacks in paris and 60 hostages reported taken at concert hall |,,,,",least dead paris concert hall,26
1152,"snapchat isn't working and i have a 437 day streak &amp; i ain't about to lose that,,,,",snapchat day streak lose,5
1153,"just now : fidel castro was a cuban politician and revolutionary,,,,",fidel castro cuban,2
1154,"earthquake namie,,,,",earthquake,11
1155,"when snapchat is not working,,,,",snapchat,5
1156,"alicia vikander gives the disney princess dress a cool makeover at the oscars: when academy aw...,,,,",alicia vikander disney princess dress academy,1
1157,"my snapchat is not working!!!!,,,,",snapchat,5
1158,"i'm about crying cause snapchat isn't working,,,,",cause snapchat,5
1159,"shootings in paris leave 18 dead,, reports say: the shooting occurred in a restaurant...,,",paris leave,26
1160,"karun nair's 300 is really good but virender sehwag's 300 was special.,,,,",karun really good,15
1161,"best actress in supporting role: alicia vikander,,,,",best actress alicia,1
1162,"tsunami warning after 7.3 earthquake hits japan,,,,",tsunami earthquake,11
1163,"karun nair is on fair....again sweep....,,,,",karun nair,15
1164,"snapchat isn't working so rip to all my streaks i guess,,,,",snapchat rip,5
1165,"world cup kabaddi winners list:;2004-ind;2007-ind;2010-ind;2011-ind;2012-ind;2013-ind;2014-ind;2016-ind ;;,,,,",world cup kabaddi,26
1166,"i wish snapchat would work,,,,",snapchat would,5
1167,"fidel castro living just long enough to see the us and cuba renew relations and then dying after trump's election is an all-time great move.,,,,",fidel castro long enough see cuba election great,2
1168,"congrats team india kabadi to win the kabadi world cup,,,,",congrats team india kabadi win kabadi world,26
1169,"trump has now won key swing states ohio &amp; north carolina. florida will be called for him shortly. it's looking real good.,,,,",trump ohio florida real,23
1170,"omg alicia vikander is so damn perfect,,,,",omg alicia vikander damn,1
1171,"kabaddi world cup 2016 win india,,,,",kabaddi world cup win,26
1172,"i don't wish any person dead,,,,",person,26
